distance id optim_v-1 optim_v-2 optim_v-3 optim_v-4 optim_v-5 
13666.34 226 246.9372 0.04469066 0.0002211614 230.696 2.4144 
13665.69 227 246.9372 0.04469066 0.0002191614 230.696 2.4144 
13658.83 228 246.9372 0.04469066 0.0002201614 230.696 2.4144 
13658.83 229 246.9372 0.04469066 0.0002201614 230.696 2.4144 
13658.83 230 246.9372 0.04469066 0.0002201614 230.696 2.414401 
13658.83 231 246.9372 0.04469066 0.0002201614 230.696 2.414399 
13658.71 232 246.937 0.04465494 0.0002199544 230.6953 2.416691 
13658.71 233 246.937 0.04465494 0.0002199544 230.6953 2.416691 
13658.71 234 246.937 0.04465494 0.0002199544 230.6953 2.416691 
13658.71 235 246.937 0.04465594 0.0002199544 230.6953 2.416691 
13658.72 236 246.937 0.04465394 0.0002199544 230.6953 2.416691 
13667.1 237 246.937 0.04465494 0.0002209544 230.6953 2.416691 
13664.71 238 246.937 0.04465494 0.0002189544 230.6953 2.416691 
13658.71 239 246.937 0.04465494 0.0002199544 230.6953 2.416691 
13658.71 240 246.937 0.04465494 0.0002199544 230.6953 2.416691 
13658.71 241 246.937 0.04465494 0.0002199544 230.6953 2.416692 
13658.71 242 246.937 0.04465494 0.0002199544 230.6953 2.41669 
13658.38 243 246.9364 0.04454569 0.0002192378 230.6932 2.423703 
13658.38 244 246.9364 0.04454569 0.0002192378 230.6932 2.423703 
13658.38 245 246.9364 0.04454569 0.0002192378 230.6932 2.423703 
13658.37 246 246.9364 0.04454669 0.0002192378 230.6932 2.423703 
13658.39 247 246.9364 0.04454469 0.0002192378 230.6932 2.423703 
13668.3 248 246.9364 0.04454569 0.0002202378 230.6932 2.423703 
13662.96 249 246.9364 0.04454569 0.0002182378 230.6932 2.423703 
13658.38 250 246.9364 0.04454569 0.0002192378 230.6932 2.423703 
13658.38 251 246.9364 0.04454569 0.0002192378 230.6932 2.423703 
13658.38 252 246.9364 0.04454569 0.0002192378 230.6932 2.423704 
13658.38 253 246.9364 0.04454569 0.0002192378 230.6932 2.423702 
13657.37 254 246.9346 0.0442033 0.0002168684 230.6866 2.445675 
13657.37 255 246.9346 0.0442033 0.0002168684 230.6866 2.445675 
13657.37 256 246.9346 0.0442033 0.0002168684 230.6866 2.445675 
13657.34 257 246.9346 0.0442043 0.0002168684 230.6866 2.445675 
13657.4 258 246.9346 0.0442023 0.0002168684 230.6866 2.445675 
13670.47 259 246.9346 0.0442033 0.0002178684 230.6866 2.445675 
13659.18 260 246.9346 0.0442033 0.0002158684 230.6866 2.445675 
13657.37 261 246.9346 0.0442033 0.0002168684 230.6866 2.445675 
13657.37 262 246.9346 0.0442033 0.0002168684 230.6866 2.445675 
13657.37 263 246.9346 0.0442033 0.0002168684 230.6866 2.445676 
13657.37 264 246.9346 0.0442033 0.0002168684 230.6866 2.445674 
